chapterIdx	lessonIdx	thinkificId	title	seconds
0	0	31634683	ปรับ mindset ก่อนเรียน: แพลนการเรียน	922
0	1	31634622	รูปแบบ paraphrase & synonyms ที่จะเจอในข้อสอบ	783
0	2	75133863	รู้เรื่องนี้จะ save 20 hours of learning IELTS Reading !	592
0	3	75133868	Technique การทำ True, false, not given	1050
0	4	75133875	Technique การทำ fill in the blank	1425
0	5	75133882	technique ทำ matching heading	1975
0	6	75133895	technique การทำ matching information	1940
0	7	75134296	technique การทำ multiple choice	1845
0	8	75635152	technique การทำ matching statements	1035
1	0	75134607	Passage 1.1 True/ False/ Not Given	1315
1	1	75135614	Passage 1.2 Fill in the blank	1126
1	2	75136047	Passage 2.1 Matching Information	1557
1	3	75136239	Passage 2.2 who says what?	850
1	4	75136821	Passage 2.3 - Fill in the blank	373
1	5	75136886	passage 3.1 - Multiple choice	1016
1	6	75137119	Passage 3.2 - Matching Statements	743
1	7	75137152	passage 3.3 - true/ false/ not given	729
2	0	75137177	Passage 1.1 - fill in the blanks	1241
2	1	75137469	passage 1.2 - true, false, not given	1221
2	2	75137497	passage 2.1 - matching information	933
2	3	75137539	passage 2.2 - fill in the blanks	617
2	4	75137782	passage 2.3 - matching statements	500
2	5	75137808	passage 3.1 - Yes/ no/ not given	863
2	6	75138091	passage 3.2 fill in the blank	917
2	7	75138168	Passage 3.3 - multiple choice	893
3	0	75138266	Passage 1.1 - Fill in the blanks	1285
3	1	75138294	Passage 1.2 - True, false, not given	892
3	2	75138326	passage 2.1 - matching heading	1682
3	3	75138421	passage 2.2 - Matching statements	614
3	4	75138458	passage 2.3 - fill in the blanks	447
3	5	75138482	passage 3.1 - matching statements	1608
3	6	75138565	Passage 3.2 - Matching statements (2)	867
3	7	75138580	Passage 3.3 - Multiple choice	1222
4	0	75313017	วิธีการใช้ให้เกิดประโยชน์ที่สุด	236
5	0	57960452	Test 1 - Passage 1 - True/ False	1570
5	1	57960455	Test 1 - Passage 2 - matching headings/ multiple choice/ fill in the blanks	2440
5	2	57960460	Test 1 - Passage 3 - fill in the blanks/ true false	2450
5	3	57973982	Test 2 - Passage 1 - Fill in the blank/ true, false, not given	2297
5	4	57973922	Test 2 - Passage 2 - Matching Heading/ Fill in the Blank	1975
5	5	57960470	Test 2 - Passage 3 - fill in the blanks/ yes, no/ multiple choice	2493
5	6	57960473	Test 3 - Passage 1 - True/False / Fill in the blanks	1585
5	7	57960476	Test 3 - Passage 2 - Matching Heading/ Fill in the blank/ Who says what?	2032
5	8	57960530	Test 3 - Passage 3 - Matching info/ Yes/ No/ Not Given	2420
5	9	57960536	Test 4 - Passage 1 - true/false/not given + fill in the blank	1524
5	10	57960539	Test 4 - Passage 2 - matching heading/ fill in the blank	1975
5	11	57960546	Test 4 - Passage 3 - multiple choice + yes/no/ not given	2598
6	0	31634860	Passage 1 - Matching Information	1151
6	1	31634975	Passage 1 - Summary Completion	551
6	2	31634984	Passage 1 - Sentence Completion	669
6	3	31634892	Passage 2 - Matching Headings	1605
6	4	31635178	Passage 2 - Yes/ No/ Not Given	1140
6	5	31635196	Passage 3 - Multiple Choice	1722
6	6	31635331	Passage 3 part 2 - True/ False/ Not Given	1368
6	7	31635274	Passage 3 part 3 - Summary Completion	896
7	0	31635293	Test 2 passage 1.1 - Yes / No / Not Given	1098
7	1	31635294	Test 2 passage 1.2 - Matching Features	1287
7	2	31635295	Test 2 - passage 1.3 - Multiple Choice	1105
7	3	31635305	Test 2 - passage 2.1 - Matching Information	1303
7	4	31635303	Test 2 - passage 2.2 - Yes / No/ Not Given	514
7	5	54414219	Test 2 - passage 2.3 - Summary Completion	791
7	6	31635328	Test 2 Passage 3.1 - Matching Headings	1142
7	7	31635330	Test 2 Passage 3.2 - Yes/ No/ Not Given	619
7	8	31635334	Test 2 passage 3.3 - Sentence's Ending Completion + Multiple Choices	1274
8	0	31635420	test 3.1.1 - Matching Features	1700
8	1	31635417	Test 3.1.2 - Diagram Completion + Multiple Choice	918
8	2	31635461	test 3.2.1 - Diagram Completion	1205
8	3	31635416	test 3.2.2. - Diagram Completion + Yes/ No/ Not Given	1060
9	0	31757580	Passage 1 - Sentence Completion	1181
9	1	31757586	Passage 1 - True/ False / Not Given	1982
9	2	31757588	Passage 2 - Matching Headings	2003
9	3	31757594	Passage 2 - Diagram Completion + Multiple Choice	982
9	4	31756493	Passage 3 - True/ False/ Not Given	1616
9	5	31757530	Passage 3 - Matching Information + Multiple Choice	1928
10	0	46019673	Passage 1 (summary completion/ TFNG)	1694
10	1	46019718	Passage 2 (Matching Information/ What says what?/ Summary Completion)	2300
10	2	46019762	Passage 3 (Matching Information/ YN Not Given)	2247
11	0	46814147	Passage 1 : Summary Completion / True False not Given	1319
11	1	46814329	Passage 2: Matching paragraph / who said what? / summer completion	1821
11	2	46814331	Passage 3: Matching heading/ Summary Completion/ Who said what?	1759
