chapterIdx	lessonIdx	thinkificId	title	seconds
0	0	60983495	เทคนิคการทำ Complex Structures for Band 7	2603
0	1	60983485	สรุปเทคนิคทางลัดการได้ Writing Band 7	960
0	2	60983607	เทคนิคการทำ complex structure (ต่อ)	904
0	3	60983651	สรุป Transitional words (Connective Devices) สำหรับ Band 7	591
0	4	60983662	สูตรลัดเรื่อง Tense for Band 7	1487
0	5	60983849	เทคนิคการทำ Referencing for Band 7	1453
0	6	60983861	การขยายคำนาม and mistakes to avoid	1103
1	0	30281373	รู้จัก Task 1	543
1	1	30431336	คำศัพท์ใช้อธิบายข้อมูล	537
1	2	31922134	การใช้ Article (a/ an/ the) - ทำยังไงไม่ให้โดนหักคะแนน Grammar	955
1	3	33521878	Line Graph - Step by Step	2476
1	4	30305652	โจทย์ LINE GRAPH	2007
1	5	30874008	โจทย์ Line Graph (2)	1265
1	6	30439709	Task 1 vocab	0
1	7	32688658	line graph เขียนพร้อมกัน	2316
1	8	40508629	การรับมือกับโจทย์ตัวเลขเยอะๆ	1516
1	9	32506820	Line Graph 2 อัน	1730
1	10	33876267	แบบฝึกหัด Line Graph	0
1	11	30360703	โจทย์​ Pie Chart	1014
1	12	32681732	เขียน Pie chart พร้อมกัน	1808
1	13	31002637	เพื่อความเข้าใจ Pie Chart	0
1	14	36369397	วิธีการเขียน Bar chart : PART 1	1106
1	15	36369359	วิธีทำ Bar chart PART 2	984
1	16	33381415	การเขียน Bar chart (1)	1517
1	17	30331705	โจทย์ Bar Chart	1054
1	18	30362033	โจทย์​ Table	984
2	0	30328169	โจทย์​ Process Diagram	1746
2	1	30499312	โจทย์ Process Diagram (1)	891
2	2	45351676	วิธีคิดโจทย์ Process Diagram (BAND 7.5+)	1034
2	3	45305212	คำศัพท์ เทคนิค & วิธีคิดโจทย์ MAP	1496
2	4	30388696	โจทย์ Map	1013
2	5	52592780	QUIZ เรื่อง MAP + Process Diagram	0
3	0	30304189	โจทย์ผสม : Bar chart + line graph	951
3	1	30361974	โจทย์ผสม Bar chart + pie chart	1009
3	2	33381858	Pie chart + table	1583
3	3	33875102	Pie chart + bar chart	1518
3	4	34999732	Summary - Checklist for Band 7 (write along)	1705
3	5	33876587	แบบฝึกหัด	0
4	0	30369416	พื้นฐาน Task 2	2431
4	1	30355724	พื้นฐาน Task 2  (2)	1047
4	2	35892741	เทคนิคการหาไอเดียและคำศัพท์หรับ Band 7​​​ (Lexical Resource)	2354
4	3	30355495	โจทย์​ Double Question	3188
4	4	35369276	Double Question (Advanced) for band 7.5+	2269
4	5	32457011	ฝึก double question	0
4	6	30355500	โจทย์ Disadvantages & advantages	2225
4	7	33876786	โจทย์​เกี่ยวกับ Nationalism (Patriotism) - March 20	1749
4	8	32505010	แบบฝึกหัด Disadvantages/ advantages	0
4	9	32506089	การเขียน To what extent	2800
4	10	32506114	แบบฝึกหัด to what extent	0
4	11	32590161	โจทย์​ Discuss both views and give your own opinion (โจทย์ 23 feb 2022)	2948
4	12	32590174	ฝึก discuss both views and give your own opinion	0
4	13	31720370	โจทย์ To what extent ล่าสุด (2025)	1450
5	0	33154191	โจทย์​ 25 Feb - Nuclear weapons benefit the world at large?	2358
5	1	33230954	แบบฝึกหัดเกี่ยวกับ Nuclear	0
5	2	31013614	โจทย์เกี่ยวกับ Gender Equality	1934
5	3	31079605	โจทย์ To what extent (Relationship)	2437
5	4	30355504	โจทย์​ To What Extent	1013
5	5	31036151	ตัวอย่างโจทย์ Equality	0
5	6	31277529	โจทย์เกี่ยวกับสิทธิสัตว์ Animal Rights	2144
5	7	0	Exercise : energy	0
5	8	30903954	โจทย์เกี่ยวกับ ​: Famous People	1844
5	9	30871798	โจทย์เกี่ยวกับสุขภาพ : Health	1845
5	10	30836773	โจทย์ฺเกี่ยวกับ​ Art/ culture	1774
5	11	45791787	โจทย์ Art Education (JUNE)	1316
5	12	30822763	โจทย์เกี่ยวกับ ข้อดีข้อเสีย Globalization	1859
6	0	31989817	เฉลยโจทย์​ล่าสุด - Should women's sports shows be given more showtime on TV?	1824
6	1	30637001	โจทย์เกี่ยวกับ Education	2143
6	2	30355509	โจทย์ Society - Shopping	1354
6	3	30578653	โจทย์เกี่ยวกับกฏหมาย	1566
6	4	30657570	โจทย์เกี่ยวกับ Military Budget	1642
6	5	30610411	โจทย์เกี่ยวกับภาวะโลกร้อน : Global Warming	2168
6	6	32369488	โจทย์ล่าสุด 16 Feb 2022 - advertisements for kids	1999
7	0	30463708	ทำ Line Graph ไปพร้อมกัน	790
7	1	30495207	แบบฝึกหัด Line Graph	27
7	2	30467638	ทำ Bar Graph ไปพร้อมกัน	1109
7	3	30530634	โจทย์ Bar Chart	1008
7	4	30563662	โจทย์ Line Graph (3)	1170
7	5	30606904	โจทย์ Table 2 อัน	1139
8	0	30511199	Exam 2	0
8	1	30511265	Exam 3	0
9	0	32664510	เฉลยการบ้าน Line Graph -	2583
10	0	46998969	Task 1 Test 1 - Line Graph	1046
10	1	46998967	Task 1 / Test 2: Bar Chart	982
10	2	46999027	Task 1/ Test 3: Map of Central Library	907
10	3	46999025	Task 1/ Test 4: Line Graph : Change in prices of metals	893
11	0	57545795	Line graph	1335
11	1	57545800	Map	1084
11	2	57545803	Diagram	1219
11	3	57545807	Mixed Graph	1040
11	4	57545817	Competition or Cooperation (Discuss both views)	1222
11	5	57545827	Shorter Working Work (To what extent do you agree?)	1220
11	6	57545844	Globalization (international food) - positive or negative?	1115
11	7	57545850	Should people save money? (To what extent do you agree?)	976
